Algoritm,Seed,Max Iter,Initial Temp,Alpha,Energy,Time (s)
SA,3,75000,200,0.7,12943.0,2.984
SA,3,75000,200,0.8,12804.0,3.571
SA,3,75000,200,0.9,12886.0,3.436
SA,3,75000,200,0.99,12818.0,3.570
SA,3,75000,500,0.7,12804.0,3.362
SA,3,75000,500,0.8,12847.0,3.380
SA,3,75000,500,0.9,12836.0,3.114
SA,3,75000,500,0.99,12906.0,3.113
SA,3,75000,1000,0.7,12965.0,3.455
SA,3,75000,1000,0.8,12905.0,3.166
SA,3,75000,1000,0.9,12952.0,3.475
SA,3,75000,1000,0.99,12866.0,2.982
SA,3,75000,2000,0.7,12775.0,3.702
SA,3,75000,2000,0.8,12905.0,3.264
SA,3,75000,2000,0.9,12904.0,3.019
SA,3,75000,2000,0.99,12920.0,3.438
SA,3,75000,5000,0.7,12905.0,2.996
SA,3,75000,5000,0.8,12859.0,3.148
SA,3,75000,5000,0.9,12923.0,3.376
SA,3,75000,5000,0.99,12863.0,2.958
SA,3,100000,10,0.7,12886.0,3.225
SA,3,100000,10,0.8,12886.0,3.097
SA,3,100000,10,0.9,12943.0,3.305
SA,3,100000,10,0.99,12916.0,2.999
SA,3,100000,50,0.7,12886.0,2.980
SA,3,100000,50,0.8,12943.0,3.505
SA,3,100000,50,0.9,12804.0,3.397
SA,3,100000,50,0.99,12966.0,3.170
SA,3,100000,100,0.7,12943.0,3.234
SA,3,100000,100,0.8,12804.0,3.134
SA,3,100000,100,0.9,12948.0,3.314
SA,3,100000,100,0.99,12897.0,2.982
SA,3,100000,200,0.7,12943.0,3.717
SA,3,100000,200,0.8,12804.0,3.606
SA,3,100000,200,0.9,12886.0,3.033
SA,3,100000,200,0.99,12818.0,3.438
SA,3,100000,500,0.7,12804.0,3.550
SA,3,100000,500,0.8,12847.0,3.377
SA,3,100000,500,0.9,12836.0,3.323
SA,3,100000,500,0.99,12906.0,3.456
SA,3,100000,1000,0.7,12965.0,3.513
SA,3,100000,1000,0.8,12905.0,3.024
SA,3,100000,1000,0.9,12952.0,3.924
SA,3,100000,1000,0.99,12866.0,3.313
SA,3,100000,2000,0.7,12775.0,3.136
SA,3,100000,2000,0.8,12905.0,3.090
SA,3,100000,2000,0.9,12904.0,3.180
SA,3,100000,2000,0.99,12920.0,3.486
SA,3,100000,5000,0.7,12905.0,3.569
SA,3,100000,5000,0.8,12859.0,3.637
SA,3,100000,5000,0.9,12923.0,3.112
SA,3,100000,5000,0.99,12863.0,3.362
SA,4,50000,10,0.7,12834.0,2.974
SA,4,50000,10,0.8,12834.0,3.383
SA,4,50000,10,0.9,12834.0,3.035
SA,4,50000,10,0.99,12928.0,3.116
SA,4,50000,50,0.7,12834.0,3.579
SA,4,50000,50,0.8,12834.0,3.241
SA,4,50000,50,0.9,12908.0,3.840
SA,4,50000,50,0.99,12941.0,2.967
SA,4,50000,100,0.7,12853.0,3.151
SA,4,50000,100,0.8,12908.0,3.095
SA,4,50000,100,0.9,12663.0,3.232
SA,4,50000,100,0.99,13018.0,3.439
SA,4,50000,200,0.7,12908.0,3.894
SA,4,50000,200,0.8,12908.0,3.188
SA,4,50000,200,0.9,12923.0,3.729
SA,4,50000,200,0.99,12913.0,3.687
SA,4,50000,500,0.7,12908.0,2.979
SA,4,50000,500,0.8,12663.0,2.982
SA,4,50000,500,0.9,12929.0,3.513
SA,4,50000,500,0.99,12886.0,3.450
SA,4,50000,1000,0.7,12908.0,3.357
SA,4,50000,1000,0.8,12954.0,2.917
SA,4,50000,1000,0.9,12886.0,3.452
SA,4,50000,1000,0.99,12908.0,3.504
SA,4,50000,2000,0.7,12908.0,2.959
SA,4,50000,2000,0.8,12954.0,3.112
SA,4,50000,2000,0.9,12865.0,3.582
SA,4,50000,2000,0.99,12805.0,3.572
SA,4,50000,5000,0.7,12954.0,3.004
SA,4,50000,5000,0.8,12954.0,3.110
SA,4,50000,5000,0.9,12911.0,3.150
SA,4,50000,5000,0.99,12933.0,2.878
SA,4,75000,10,0.7,12834.0,3.012
SA,4,75000,10,0.8,12834.0,3.305
SA,4,75000,10,0.9,12834.0,3.508
SA,4,75000,10,0.99,12928.0,3.080
SA,4,75000,50,0.7,12834.0,2.802
SA,4,75000,50,0.8,12834.0,3.475
SA,4,75000,50,0.9,12908.0,3.283
SA,4,75000,50,0.99,12941.0,3.501
SA,4,75000,100,0.7,12853.0,3.079
SA,4,75000,100,0.8,12908.0,2.934
SA,4,75000,100,0.9,12663.0,3.372
SA,4,75000,100,0.99,13018.0,3.475
SA,4,75000,200,0.7,12908.0,3.129
SA,4,75000,200,0.8,12908.0,3.528
SA,4,75000,200,0.9,12923.0,3.521
SA,4,75000,200,0.99,12913.0,3.164
