Algoritm,Seed,Max Iter,Population,BitFlip Prob,Energy,Time (s)
EA,4,75000,20,0.0005,12911.0,4.446
EA,4,75000,20,0.001,12860.0,4.358
EA,4,75000,20,0.002,12902.0,4.433
EA,4,75000,20,0.005,12661.0,4.469
EA,4,75000,20,0.01,11274.0,4.685
EA,4,75000,50,0.0005,12812.0,4.875
EA,4,75000,50,0.001,12931.0,4.429
EA,4,75000,50,0.002,12894.0,4.463
EA,4,75000,50,0.005,12455.0,4.410
EA,4,75000,50,0.01,11232.0,4.895
EA,4,75000,100,0.0005,12865.0,4.448
EA,4,75000,100,0.001,12716.0,4.796
EA,4,75000,100,0.002,12753.0,4.474
EA,4,75000,100,0.005,12204.0,4.339
EA,4,75000,100,0.01,11317.0,4.384
EA,4,75000,200,0.0005,12726.0,4.409
EA,4,75000,200,0.001,12592.0,4.494
EA,4,75000,200,0.002,12575.0,4.915
EA,4,75000,200,0.005,11872.0,4.461
EA,4,75000,200,0.01,10767.0,4.528
EA,4,75000,500,0.0005,11676.0,4.683
EA,4,75000,500,0.001,11968.0,4.735
EA,4,75000,500,0.002,11770.0,4.678
EA,4,75000,500,0.005,11342.0,4.522
EA,4,75000,500,0.01,10252.0,5.059
EA,4,75000,1000,0.0005,10319.0,5.492
EA,4,75000,1000,0.001,10799.0,5.008
EA,4,75000,1000,0.002,10880.0,5.050
EA,4,75000,1000,0.005,10072.0,5.434
EA,4,75000,1000,0.01,9247.0,4.986
EA,4,100000,20,0.0005,12911.0,4.540
EA,4,100000,20,0.001,12860.0,4.728
EA,4,100000,20,0.002,12902.0,4.485
EA,4,100000,20,0.005,12661.0,5.049
EA,4,100000,20,0.01,11274.0,4.451
EA,4,100000,50,0.0005,12812.0,4.392
EA,4,100000,50,0.001,12931.0,4.947
EA,4,100000,50,0.002,12894.0,4.364
EA,4,100000,50,0.005,12455.0,4.457
EA,4,100000,50,0.01,11232.0,4.451
EA,4,100000,100,0.0005,12865.0,4.074
EA,4,100000,100,0.001,12716.0,4.358
EA,4,100000,100,0.002,12753.0,4.409
EA,4,100000,100,0.005,12204.0,4.432
EA,4,100000,100,0.01,11317.0,4.449
EA,4,100000,200,0.0005,12726.0,4.988
EA,4,100000,200,0.001,12592.0,4.016
EA,4,100000,200,0.002,12575.0,4.528
EA,4,100000,200,0.005,11872.0,4.505
EA,4,100000,200,0.01,10767.0,4.364
EA,4,100000,500,0.0005,11676.0,5.009
EA,4,100000,500,0.001,11968.0,4.724
EA,4,100000,500,0.002,11770.0,5.047
EA,4,100000,500,0.005,11342.0,5.161
EA,4,100000,500,0.01,10252.0,5.669
EA,4,100000,1000,0.0005,10319.0,6.327
EA,4,100000,1000,0.001,10799.0,5.037
EA,4,100000,1000,0.002,10880.0,6.878
EA,4,100000,1000,0.005,10072.0,6.250
EA,4,100000,1000,0.01,9247.0,6.264
EA,5,50000,20,0.0005,12901.0,4.300
EA,5,50000,20,0.001,12812.0,4.575
EA,5,50000,20,0.002,12915.0,4.441
EA,5,50000,20,0.005,12598.0,4.505
EA,5,50000,20,0.01,11557.0,4.432
EA,5,50000,50,0.0005,12856.0,4.487
EA,5,50000,50,0.001,12842.0,4.377
EA,5,50000,50,0.002,12782.0,4.852
EA,5,50000,50,0.005,12214.0,4.417
EA,5,50000,50,0.01,11310.0,5.340
EA,5,50000,100,0.0005,12774.0,5.202
EA,5,50000,100,0.001,12804.0,4.948
EA,5,50000,100,0.002,12750.0,4.320
EA,5,50000,100,0.005,12238.0,4.324
EA,5,50000,100,0.01,10961.0,4.425
EA,5,50000,200,0.0005,12693.0,4.397
EA,5,50000,200,0.001,12766.0,4.511
EA,5,50000,200,0.002,12498.0,4.539
EA,5,50000,200,0.005,12007.0,4.494
EA,5,50000,200,0.01,10824.0,4.471
EA,5,50000,500,0.0005,12072.0,5.115
EA,5,50000,500,0.001,11866.0,4.799
EA,5,50000,500,0.002,11905.0,4.647
EA,5,50000,500,0.005,11178.0,4.694
EA,5,50000,500,0.01,10152.0,4.670
EA,5,50000,1000,0.0005,10769.0,5.768
EA,5,50000,1000,0.001,11039.0,5.090
EA,5,50000,1000,0.002,10814.0,5.921
EA,5,50000,1000,0.005,10250.0,5.529
EA,5,50000,1000,0.01,8956.0,5.074
EA,5,75000,20,0.0005,12901.0,4.343
EA,5,75000,20,0.001,12812.0,4.405
EA,5,75000,20,0.002,12915.0,4.979
EA,5,75000,20,0.005,12598.0,4.340
EA,5,75000,20,0.01,11557.0,4.411
EA,5,75000,50,0.0005,12856.0,4.441
EA,5,75000,50,0.001,12842.0,4.328
EA,5,75000,50,0.002,12782.0,4.437
EA,5,75000,50,0.005,12214.0,4.449
EA,5,75000,50,0.01,11310.0,4.443
EA,5,75000,100,0.0005,12774.0,4.403
EA,5,75000,100,0.001,12804.0,4.384
EA,5,75000,100,0.002,12750.0,4.800
EA,5,75000,100,0.005,12238.0,4.870
EA,5,75000,100,0.01,10961.0,4.509
EA,5,75000,200,0.0005,12693.0,4.504
EA,5,75000,200,0.001,12766.0,4.337
EA,5,75000,200,0.002,12498.0,4.488
EA,5,75000,200,0.005,12007.0,5.126
EA,5,75000,200,0.01,10824.0,4.505
EA,5,75000,500,0.0005,12072.0,4.730
EA,5,75000,500,0.001,11866.0,4.609
EA,5,75000,500,0.002,11905.0,5.988
EA,5,75000,500,0.005,11178.0,5.113
EA,5,75000,500,0.01,10152.0,5.108
EA,5,75000,1000,0.0005,10769.0,6.126
EA,5,75000,1000,0.001,11039.0,5.575
EA,5,75000,1000,0.002,10814.0,5.186
EA,5,75000,1000,0.005,10250.0,6.562
EA,5,75000,1000,0.01,8956.0,5.468
EA,5,100000,20,0.0005,12901.0,4.828
EA,5,100000,20,0.001,12812.0,4.585
EA,5,100000,20,0.002,12915.0,4.521
EA,5,100000,20,0.005,12598.0,4.431
EA,5,100000,20,0.01,11557.0,5.349
EA,5,100000,50,0.0005,12856.0,4.766
EA,5,100000,50,0.001,12842.0,4.428
EA,5,100000,50,0.002,12782.0,4.422
EA,5,100000,50,0.005,12214.0,4.894
EA,5,100000,50,0.01,11310.0,4.448
EA,5,100000,100,0.0005,12774.0,4.365
EA,5,100000,100,0.001,12804.0,4.399
EA,5,100000,100,0.002,12750.0,4.838
EA,5,100000,100,0.005,12238.0,4.503
EA,5,100000,100,0.01,10961.0,4.439
EA,5,100000,200,0.0005,12693.0,4.496
EA,5,100000,200,0.001,12766.0,4.405
EA,5,100000,200,0.002,12498.0,4.523
EA,5,100000,200,0.005,12007.0,4.489
EA,5,100000,200,0.01,10824.0,4.498
EA,5,100000,500,0.0005,12072.0,4.665
EA,5,100000,500,0.001,11866.0,4.235
EA,5,100000,500,0.002,11905.0,4.741
EA,5,100000,500,0.005,11178.0,4.702
EA,5,100000,500,0.01,10152.0,4.603
EA,5,100000,1000,0.0005,10769.0,5.062
EA,5,100000,1000,0.001,11039.0,5.145
EA,5,100000,1000,0.002,10814.0,4.914
EA,5,100000,1000,0.005,10250.0,5.856
EA,5,100000,1000,0.01,8956.0,5.081
EA,6,50000,20,0.0005,12738.0,4.932
EA,6,50000,20,0.001,12836.0,4.748
EA,6,50000,20,0.002,12823.0,4.519
EA,6,50000,20,0.005,12457.0,4.403
EA,6,50000,20,0.01,11266.0,4.857
EA,6,50000,50,0.0005,12834.0,4.626
EA,6,50000,50,0.001,12780.0,4.464
EA,6,50000,50,0.002,12844.0,4.355
EA,6,50000,50,0.005,12349.0,4.743
EA,6,50000,50,0.01,11275.0,4.480
EA,6,50000,100,0.0005,12819.0,4.412
EA,6,50000,100,0.001,12931.0,4.320
EA,6,50000,100,0.002,12677.0,4.449
EA,6,50000,100,0.005,12027.0,4.356
EA,6,50000,100,0.01,11103.0,4.326
EA,6,50000,200,0.0005,12753.0,5.133
EA,6,50000,200,0.001,12660.0,4.692
EA,6,50000,200,0.002,12674.0,5.378
EA,6,50000,200,0.005,11798.0,4.454
EA,6,50000,200,0.01,10794.0,4.913
EA,6,50000,500,0.0005,11865.0,4.580
EA,6,50000,500,0.001,12097.0,5.116
EA,6,50000,500,0.002,11926.0,4.677
EA,6,50000,500,0.005,11152.0,5.906
EA,6,50000,500,0.01,9912.0,4.705
EA,6,50000,1000,0.0005,10411.0,5.586
EA,6,50000,1000,0.001,10773.0,5.361
EA,6,50000,1000,0.002,10788.0,5.530
EA,6,50000,1000,0.005,10097.0,5.129
EA,6,50000,1000,0.01,9253.0,5.427
EA,6,75000,20,0.0005,12738.0,4.488
EA,6,75000,20,0.001,12836.0,4.883
EA,6,75000,20,0.002,12823.0,4.440
EA,6,75000,20,0.005,12457.0,4.445
EA,6,75000,20,0.01,11266.0,4.358
EA,6,75000,50,0.0005,12834.0,4.330
EA,6,75000,50,0.001,12780.0,4.465
EA,6,75000,50,0.002,12844.0,4.338
EA,6,75000,50,0.005,12349.0,4.495
EA,6,75000,50,0.01,11275.0,4.834
EA,6,75000,100,0.0005,12819.0,4.429
EA,6,75000,100,0.001,12931.0,4.499
EA,6,75000,100,0.002,12677.0,4.444
EA,6,75000,100,0.005,12027.0,4.818
EA,6,75000,100,0.01,11103.0,4.887
EA,6,75000,200,0.0005,12753.0,4.903
EA,6,75000,200,0.001,12660.0,4.554
EA,6,75000,200,0.002,12674.0,4.505
EA,6,75000,200,0.005,11798.0,4.524
EA,6,75000,200,0.01,10794.0,4.515
EA,6,75000,500,0.0005,11865.0,4.632
EA,6,75000,500,0.001,12097.0,4.686
